name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,verified,millis
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,13,1,25,25,true,329
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,9,0,20,20,true,88
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,4,0,30,30,true,310
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,0,0,50,50,true,582
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,0,0,70,70,true,5774
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,0,0,-1,0,false,90059
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,0,0,-1,0,false,90058
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,6,0,10,10,true,116
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,3,0,20,20,true,263
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,2,0,15,15,true,115
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,1,0,25,25,true,706
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,1,0,30,30,true,459
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,0,0,50,50,true,978
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,0,0,70,70,true,7791
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,0,0,100,0,false,90063
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,0,0,-1,0,false,90072
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,2,0,-1,100,true,12765
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,0,0,-1,0,false,91294
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,1,0,-1,0,false,91299
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,0,0,-1,0,false,91257
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,0,0,-1,0,false,92665
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,0,0,-1,0,false,92748
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,0,0,-1,0,false,93623
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,0,0,-1,0,false,93812
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,0,0,-1,0,false,180901
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,0,0,-1,0,false,204140
synth-n_2600-m_735701-k_150-p_0.2.txt,2600,735701,0,0,-1,0,false,265918
synth-n_2600-m_752513-k_200-p_0.2.txt,2600,752513,0,0,-1,0,false,207165
synth-n_300-m_10021-k_20-p_0.2.txt,300,10021,1,0,20,20,true,199
synth-n_300-m_10113-k_25-p_0.2.txt,300,10113,1,0,25,25,true,283
synth-n_300-m_10205-k_30-p_0.2.txt,300,10205,0,0,30,30,true,495
synth-n_300-m_10954-k_50-p_0.2.txt,300,10954,0,0,50,50,true,1110
synth-n_300-m_11628-k_70-p_0.2.txt,300,11628,0,0,70,70,true,2075
synth-n_300-m_12194-k_100-p_0.2.txt,300,12194,0,0,100,100,true,24613
synth-n_300-m_12407-k_120-p_0.2.txt,300,12407,0,0,120,0,false,90099
synth-n_300-m_2373-k_15-p_0.05.txt,300,2373,70,0,15,15,true,36
synth-n_300-m_2470-k_20-p_0.05.txt,300,2470,74,1,20,20,true,118
synth-n_300-m_2597-k_25-p_0.05.txt,300,2597,48,0,25,25,true,105
synth-n_300-m_2657-k_30-p_0.05.txt,300,2657,30,0,30,30,true,56
synth-n_300-m_2835-k_50-p_0.05.txt,300,2835,13,0,50,50,true,2092
synth-n_300-m_2943-k_70-p_0.05.txt,300,2943,9,0,70,70,true,9025
synth-n_300-m_3132-k_100-p_0.05.txt,300,3132,1,0,-1,0,false,90062
synth-n_300-m_3265-k_120-p_0.05.txt,300,3265,1,0,-1,0,false,90068
synth-n_300-m_4857-k_15-p_0.1.txt,300,4857,26,0,15,15,true,99
synth-n_300-m_4934-k_25-p_0.1.txt,300,4934,11,0,25,25,true,108
synth-n_300-m_4954-k_20-p_0.1.txt,300,4954,18,0,20,20,true,151
synth-n_300-m_5319-k_30-p_0.1.txt,300,5319,6,0,30,30,true,182
synth-n_300-m_5550-k_50-p_0.1.txt,300,5550,1,0,50,50,true,466
synth-n_300-m_5939-k_70-p_0.1.txt,300,5939,0,0,70,70,true,1199
synth-n_300-m_6233-k_100-p_0.1.txt,300,6233,0,0,100,100,true,21985
synth-n_300-m_6319-k_120-p_0.1.txt,300,6319,0,0,120,0,false,90309
synth-n_300-m_9556-k_15-p_0.2.txt,300,9556,1,0,15,15,true,191
synth-n_3000-m_240581-k_120-p_0.05.txt,3000,240581,0,0,-1,120,true,16756
synth-n_3000-m_245845-k_150-p_0.05.txt,3000,245845,0,0,-1,150,true,24389
synth-n_3000-m_251178-k_200-p_0.05.txt,3000,251178,0,0,-1,0,false,91701
synth-n_3000-m_480800-k_120-p_0.1.txt,3000,480800,0,0,-1,0,false,94519
synth-n_3000-m_488450-k_150-p_0.1.txt,3000,488450,0,0,-1,150,true,62577
synth-n_3000-m_498304-k_200-p_0.1.txt,3000,498304,0,0,-1,0,false,95999
synth-n_3000-m_954655-k_120-p_0.2.txt,3000,954655,0,0,-1,0,false,307858
synth-n_3000-m_967399-k_150-p_0.2.txt,3000,967399,0,0,-1,0,false,331940
synth-n_3000-m_988910-k_200-p_0.2.txt,3000,988910,0,0,-1,0,false,435452
synth-n_3500-m_1289316-k_120-p_0.2.txt,3500,1289316,0,0,-1,0,false,259697
synth-n_3500-m_1304726-k_150-p_0.2.txt,3500,1304726,0,0,-1,0,false,402980
synth-n_3500-m_1330654-k_200-p_0.2.txt,3500,1330654,0,0,-1,0,false,518666
synth-n_3500-m_325120-k_120-p_0.05.txt,3500,325120,0,0,-1,120,true,44084
synth-n_3500-m_330042-k_150-p_0.05.txt,3500,330042,0,0,-1,150,true,37308
synth-n_3500-m_337087-k_200-p_0.05.txt,3500,337087,0,0,-1,0,false,92365
synth-n_3500-m_649101-k_120-p_0.1.txt,3500,649101,0,0,-1,0,false,95921
synth-n_3500-m_657209-k_150-p_0.1.txt,3500,657209,0,0,-1,0,false,96683
synth-n_3500-m_672789-k_200-p_0.1.txt,3500,672789,0,0,-1,0,false,100344
synth-n_400-m_10064-k_70-p_0.1.txt,400,10064,0,0,70,70,true,1618
synth-n_400-m_10528-k_100-p_0.1.txt,400,10528,0,0,100,100,true,3654
synth-n_400-m_10934-k_120-p_0.1.txt,400,10934,0,0,120,120,true,14742
synth-n_400-m_11482-k_150-p_0.1.txt,400,11482,0,0,150,0,false,90163
synth-n_400-m_16937-k_15-p_0.2.txt,400,16937,4,0,15,15,true,827
