name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,48,48,0,true,0,36,6026,13464,51779
synth-n_150-m_2446-k_10-p_0.2.txt,150,2446,10,10,0,true,6,10,2,29,9
synth-n_150-m_2502-k_15-p_0.2.txt,150,2502,15,15,0,true,3,14,3,14,14
synth-n_150-m_2552-k_20-p_0.2.txt,150,2552,20,20,0,true,2,18,25,46,45
synth-n_150-m_2731-k_25-p_0.2.txt,150,2731,25,25,0,true,1,25,7,17,24
synth-n_150-m_2807-k_30-p_0.2.txt,150,2807,30,30,0,true,0,29,22,39,50
synth-n_150-m_3040-k_50-p_0.2.txt,150,3040,50,50,0,true,0,43,165,409,776
synth-n_150-m_3050-k_70-p_0.2.txt,150,3050,70,66,0,false,0,48,20620,90001,243471
synth-n_150-m_630-k_15-p_0.05.txt,150,630,15,15,1,true,74,13,1,10,26
synth-n_150-m_634-k_10-p_0.05.txt,150,634,7,7,7,true,150,0,0,7,0
synth-n_150-m_666-k_20-p_0.05.txt,150,666,15,15,1,true,56,14,1,8,6
synth-n_150-m_704-k_25-p_0.05.txt,150,704,23,23,1,true,48,18,27,43,246
synth-n_150-m_781-k_50-p_0.05.txt,150,781,32,32,0,true,25,23,6895,11048,58574
synth-n_150-m_782-k_30-p_0.05.txt,150,782,28,28,1,true,29,19,1197,1765,8000
synth-n_150-m_805-k_70-p_0.05.txt,150,805,43,36,0,false,12,25,56100,90001,456437
synth-n_1600-m_137884-k_70-p_0.1.txt,1600,137884,70,70,0,true,0,70,1390,2239,66
synth-n_1600-m_141523-k_100-p_0.1.txt,1600,141523,100,100,0,true,0,100,1900,3039,97
synth-n_1600-m_143789-k_120-p_0.1.txt,1600,143789,120,120,0,true,0,119,2467,3987,121
synth-n_1600-m_147721-k_150-p_0.1.txt,1600,147721,150,150,0,true,0,150,2466,4221,145
synth-n_1600-m_152838-k_200-p_0.1.txt,1600,152838,200,200,0,true,0,199,5521,9035,236
synth-n_1600-m_273042-k_70-p_0.2.txt,1600,273042,70,70,0,true,0,70,3748,6651,68
synth-n_1600-m_279359-k_100-p_0.2.txt,1600,279359,100,100,0,true,0,99,12539,18521,119
synth-n_1600-m_284773-k_120-p_0.2.txt,1600,284773,120,120,0,true,0,120,5426,9895,116
synth-n_1600-m_290831-k_150-p_0.2.txt,1600,290831,150,150,0,true,0,149,6809,12714,150
synth-n_1600-m_301143-k_200-p_0.2.txt,1600,301143,200,197,0,false,0,195,73240,91214,141
synth-n_1600-m_68907-k_70-p_0.05.txt,1600,68907,70,70,0,true,2,70,515,782,65
synth-n_1600-m_70865-k_100-p_0.05.txt,1600,70865,100,100,0,true,3,100,754,1119,96
synth-n_1600-m_72748-k_120-p_0.05.txt,1600,72748,120,120,0,true,0,119,3810,4523,161
synth-n_1600-m_74607-k_150-p_0.05.txt,1600,74607,150,150,0,true,0,147,6249,7453,244
synth-n_1600-m_77345-k_200-p_0.05.txt,1600,77345,200,199,0,false,0,192,69536,90019,3024
synth-n_200-m_1076-k_10-p_0.05.txt,200,1076,10,10,10,true,200,0,0,22,0
synth-n_200-m_1167-k_15-p_0.05.txt,200,1167,15,15,1,true,62,12,4,13,16
synth-n_200-m_1175-k_20-p_0.05.txt,200,1175,20,20,0,true,43,19,6,14,26
synth-n_200-m_1245-k_25-p_0.05.txt,200,1245,24,24,0,true,48,22,10,19,40
synth-n_200-m_1266-k_30-p_0.05.txt,200,1266,30,30,0,true,38,21,1016,1472,4241
synth-n_200-m_1336-k_50-p_0.05.txt,200,1336,45,44,0,false,15,33,56548,90001,301537
synth-n_200-m_1434-k_70-p_0.05.txt,200,1434,-1,51,0,false,2,40,48523,90001,341925
synth-n_200-m_2169-k_15-p_0.1.txt,200,2169,15,15,1,true,25,12,13,37,15
synth-n_200-m_2199-k_10-p_0.1.txt,200,2199,10,10,0,true,20,10,1,11,8
synth-n_200-m_2293-k_20-p_0.1.txt,200,2293,20,20,0,true,12,20,2,11,15
synth-n_200-m_2369-k_25-p_0.1.txt,200,2369,25,25,0,true,13,25,3,13,21
synth-n_200-m_2491-k_30-p_0.1.txt,200,2491,30,30,0,true,8,27,66,104,144
synth-n_200-m_2592-k_50-p_0.1.txt,200,2592,50,50,0,true,1,43,291,515,1098
synth-n_200-m_2772-k_70-p_0.1.txt,200,2772,70,67,0,false,0,54,31259,90001,249116
synth-n_200-m_4301-k_10-p_0.2.txt,200,4301,10,10,0,true,5,10,6,17,9
synth-n_200-m_4485-k_20-p_0.2.txt,200,4485,20,20,0,true,0,20,9,20,18
synth-n_200-m_4497-k_15-p_0.2.txt,200,4497,15,15,0,true,4,15,4,18,13
synth-n_200-m_4763-k_25-p_0.2.txt,200,4763,25,25,0,true,0,25,8,21,23
synth-n_200-m_4854-k_30-p_0.2.txt,200,4854,30,30,0,true,1,30,12,22,28
synth-n_200-m_5144-k_50-p_0.2.txt,200,5144,50,50,0,true,0,46,48,97,106
synth-n_200-m_5366-k_70-p_0.2.txt,200,5366,70,70,0,true,0,63,127,380,502
synth-n_2000-m_106592-k_70-p_0.05.txt,2000,106592,70,70,0,true,9,68,12253,13014,82
synth-n_2000-m_108739-k_100-p_0.05.txt,2000,108739,100,100,0,true,1,100,1451,2149,92
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,120,120,0,true,2,117,9667,11258,171
synth-n_2000-m_112582-k_150-p_0.05.txt,2000,112582,150,150,0,true,0,147,38192,42351,393
synth-n_2000-m_117145-k_200-p_0.05.txt,2000,117145,200,199,0,false,0,195,82761,90030,543
synth-n_2000-m_212793-k_70-p_0.1.txt,2000,212793,70,70,0,true,0,70,2599,4271,67
synth-n_2000-m_217131-k_100-p_0.1.txt,2000,217131,100,100,0,true,0,99,9375,12627,119
synth-n_2000-m_220005-k_120-p_0.1.txt,2000,220005,120,120,0,true,0,119,12410,16608,148
synth-n_2000-m_225391-k_150-p_0.1.txt,2000,225391,150,150,0,true,0,149,19601,25262,200
synth-n_2000-m_233102-k_200-p_0.1.txt,2000,233102,200,200,0,true,0,198,39412,51725,359
synth-n_2000-m_422023-k_70-p_0.2.txt,2000,422023,70,70,0,true,0,70,7033,12641,69
synth-n_2000-m_430943-k_100-p_0.2.txt,2000,430943,100,100,0,true,0,100,8784,15985,98
synth-n_2000-m_435643-k_120-p_0.2.txt,2000,435643,120,119,0,false,0,119,80585,90077,65
synth-n_2000-m_444160-k_150-p_0.2.txt,2000,444160,150,149,0,false,0,148,71172,90104,80
synth-n_2000-m_457573-k_200-p_0.2.txt,2000,457573,200,199,0,false,0,199,74421,92927,120
synth-n_2300-m_142851-k_100-p_0.05.txt,2300,142851,100,100,0,true,1,100,1963,3044,95
synth-n_2300-m_144829-k_120-p_0.05.txt,2300,144829,120,120,0,true,2,117,34466,38385,266
synth-n_2300-m_147738-k_150-p_0.05.txt,2300,147738,150,150,0,true,1,149,11408,13420,169
synth-n_2300-m_152429-k_200-p_0.05.txt,2300,152429,200,199,0,false,0,194,77793,90685,719
synth-n_2300-m_284623-k_100-p_0.1.txt,2300,284623,100,100,0,true,0,100,4493,7116,94
synth-n_2300-m_286796-k_120-p_0.1.txt,2300,286796,120,120,0,true,0,119,8867,13086,133
synth-n_2300-m_292795-k_150-p_0.1.txt,2300,292795,150,150,0,true,0,149,11519,17186,171
synth-n_2300-m_302503-k_200-p_0.1.txt,2300,302503,200,200,0,true,0,200,7385,12831,196
synth-n_2300-m_563042-k_100-p_0.2.txt,2300,563042,100,100,0,true,0,100,12521,22412,98
synth-n_2300-m_569928-k_120-p_0.2.txt,2300,569928,120,120,0,true,0,120,14606,25729,119
synth-n_2300-m_580179-k_150-p_0.2.txt,2300,580179,150,150,0,true,0,149,29372,45621,156
synth-n_2300-m_595551-k_200-p_0.2.txt,2300,595551,200,200,0,true,0,200,21071,39476,197
synth-n_250-m_1653-k_10-p_0.05.txt,250,1653,10,10,10,true,250,0,0,22,0
synth-n_250-m_1708-k_15-p_0.05.txt,250,1708,15,15,1,true,79,14,2,8,7
synth-n_250-m_1797-k_25-p_0.05.txt,250,1797,25,25,0,true,39,24,11,23,29
synth-n_250-m_1806-k_20-p_0.05.txt,250,1806,20,20,1,true,67,17,14,25,33
synth-n_250-m_1841-k_30-p_0.05.txt,250,1841,30,30,0,true,32,27,13,30,49
synth-n_250-m_1998-k_50-p_0.05.txt,250,1998,50,50,0,true,12,42,1982,3020,6491
synth-n_250-m_2173-k_70-p_0.05.txt,250,2173,69,62,0,false,9,50,49752,90001,246628
synth-n_250-m_2260-k_100-p_0.05.txt,250,2260,-1,64,0,false,0,54,40473,90001,264617
synth-n_250-m_2350-k_120-p_0.05.txt,250,2350,-1,72,0,false,0,61,35647,90001,284333
synth-n_250-m_3237-k_10-p_0.1.txt,250,3237,10,10,0,true,23,10,2,26,4
synth-n_250-m_3416-k_15-p_0.1.txt,250,3416,15,15,0,true,20,15,9,19,13
synth-n_250-m_3493-k_25-p_0.1.txt,250,3493,25,25,1,true,13,23,26,45,35
synth-n_250-m_3591-k_20-p_0.1.txt,250,3591,20,20,0,true,9,20,4,17,15
synth-n_250-m_3730-k_30-p_0.1.txt,250,3730,30,30,0,true,4,30,7,18,25
synth-n_250-m_3992-k_50-p_0.1.txt,250,3992,50,50,0,true,0,46,44,77,97
synth-n_250-m_4149-k_70-p_0.1.txt,250,4149,70,70,0,true,0,63,372,859,1461
synth-n_250-m_4386-k_100-p_0.1.txt,250,4386,100,85,0,false,0,69,21466,90002,164413
synth-n_250-m_4530-k_120-p_0.1.txt,250,4530,-1,89,0,false,0,76,17422,90001,182056
synth-n_250-m_6567-k_10-p_0.2.txt,250,6567,10,10,0,true,6,10,4,22,7
synth-n_250-m_6839-k_20-p_0.2.txt,250,6839,20,20,0,true,3,20,15,31,19
synth-n_250-m_6880-k_15-p_0.2.txt,250,6880,15,15,0,true,2,15,9,27,13
synth-n_250-m_7102-k_25-p_0.2.txt,250,7102,25,25,0,true,1,25,17,38,23
synth-n_250-m_7321-k_30-p_0.2.txt,250,7321,30,30,0,true,1,29,40,66,36
synth-n_250-m_8019-k_50-p_0.2.txt,250,8019,50,50,0,true,0,47,100,155,82
synth-n_250-m_8255-k_70-p_0.2.txt,250,8255,70,70,0,true,0,69,36,84,90
synth-n_250-m_8674-k_100-p_0.2.txt,250,8674,100,100,0,true,0,87,2514,11853,9484
synth-n_250-m_8784-k_120-p_0.2.txt,250,8784,-1,106,0,false,0,89,11639,90001,69669
synth-n_2600-m_181265-k_100-p_0.05.txt,2600,181265,100,100,0,true,2,98,9506,11185,107
synth-n_2600-m_183371-k_120-p_0.05.txt,2600,183371,120,120,0,true,0,118,8378,10790,149
synth-n_2600-m_186921-k_150-p_0.05.txt,2600,186921,150,150,0,true,1,149,6021,8230,152
synth-n_2600-m_190932-k_200-p_0.05.txt,2600,190932,200,199,0,false,0,195,77926,90066,488
synth-n_2600-m_360584-k_100-p_0.1.txt,2600,360584,100,100,0,true,0,100,6380,10648,96
synth-n_2600-m_364394-k_120-p_0.1.txt,2600,364394,120,120,0,true,0,120,8016,12691,114
synth-n_2600-m_370561-k_150-p_0.1.txt,2600,370561,150,150,0,true,0,149,12838,19766,157
synth-n_2600-m_380919-k_200-p_0.1.txt,2600,380919,200,200,0,true,0,199,17384,25119,199
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,100,100,0,true,0,100,20667,34687,96
synth-n_2600-m_722675-k_120-p_0.2.txt,2600,722675,120,120,0,false,0,119,58676,90116,104
synth-n_2600-m_735701-k_150-p_0.2.txt,2600,735701,150,149,0,false,0,149,72294,90291,43
