name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
synth-n_300-m_2657-k_30-p_0.05.txt,300,2657,30,0,30,30,59,true,145
synth-n_300-m_2835-k_50-p_0.05.txt,300,2835,13,0,50,50,132,true,387
synth-n_300-m_2943-k_70-p_0.05.txt,300,2943,9,0,70,70,480,true,1410
synth-n_300-m_3132-k_100-p_0.05.txt,300,3132,1,0,-1,0,1644,false,90000
synth-n_300-m_3265-k_120-p_0.05.txt,300,3265,1,0,-1,0,2578,false,90000
synth-n_300-m_4857-k_15-p_0.1.txt,300,4857,26,0,15,15,29,true,88
synth-n_300-m_4934-k_25-p_0.1.txt,300,4934,11,0,25,25,51,true,218
synth-n_300-m_4954-k_20-p_0.1.txt,300,4954,18,0,20,20,42,true,158
synth-n_300-m_5319-k_30-p_0.1.txt,300,5319,6,0,30,30,120,true,559
synth-n_300-m_5550-k_50-p_0.1.txt,300,5550,1,0,50,50,519,true,2277
synth-n_300-m_5939-k_70-p_0.1.txt,300,5939,0,0,70,70,693,true,2792
synth-n_300-m_6233-k_100-p_0.1.txt,300,6233,0,0,100,100,885,true,5771
synth-n_300-m_6319-k_120-p_0.1.txt,300,6319,0,0,120,0,2126,false,90000
synth-n_300-m_9556-k_15-p_0.2.txt,300,9556,1,0,15,15,39,true,332
synth-n_3000-m_240581-k_120-p_0.05.txt,3000,240581,0,0,-1,0,95,false,90000
synth-n_3000-m_245845-k_150-p_0.05.txt,3000,245845,0,0,-1,0,97,false,90000
synth-n_3000-m_251178-k_200-p_0.05.txt,3000,251178,0,0,-1,0,99,false,90000
synth-n_3000-m_480800-k_120-p_0.1.txt,3000,480800,0,0,-1,0,58,false,90000
synth-n_3000-m_488450-k_150-p_0.1.txt,3000,488450,0,0,-1,0,58,false,90000
synth-n_3000-m_498304-k_200-p_0.1.txt,3000,498304,0,0,-1,0,57,false,90000
