name,k_optimal,k_solved,millis,verified,recursive_steps
synth-n_40-m_176-k_2-p_0.2.txt,2,2,0,true,0
synth-n_40-m_185-k_4-p_0.2.txt,4,4,0,true,35
synth-n_40-m_192-k_10-p_0.2.txt,10,10,25,true,4320
synth-n_40-m_192-k_15-p_0.2.txt,13,13,183,true,38597
synth-n_40-m_194-k_6-p_0.2.txt,5,5,1,true,105
synth-n_40-m_203-k_8-p_0.2.txt,7,7,2,true,339
synth-n_40-m_36-k_2-p_0.05.txt,0,0,0,true,0
synth-n_40-m_47-k_6-p_0.05.txt,0,0,0,true,0
synth-n_40-m_50-k_4-p_0.05.txt,1,1,0,true,0
synth-n_40-m_58-k_15-p_0.05.txt,1,1,0,true,0
synth-n_40-m_61-k_8-p_0.05.txt,1,1,0,true,0
synth-n_40-m_62-k_10-p_0.05.txt,3,3,0,true,0
synth-n_40-m_88-k_4-p_0.1.txt,3,3,0,true,0
synth-n_40-m_92-k_2-p_0.1.txt,2,2,0,true,0
synth-n_40-m_95-k_6-p_0.1.txt,4,4,0,true,0
synth-n_50-m_139-k_2-p_0.1.txt,2,2,0,true,0
synth-n_50-m_139-k_4-p_0.1.txt,2,2,0,true,8
synth-n_50-m_154-k_8-p_0.1.txt,6,6,0,true,92
synth-n_50-m_159-k_10-p_0.1.txt,8,8,4,true,794
synth-n_50-m_169-k_6-p_0.1.txt,6,6,1,true,31
synth-n_50-m_192-k_20-p_0.1.txt,11,11,138,true,25607
synth-n_50-m_195-k_15-p_0.1.txt,8,8,5,true,1080
synth-n_50-m_275-k_2-p_0.2.txt,2,2,0,true,0
synth-n_50-m_278-k_4-p_0.2.txt,4,4,1,true,19
synth-n_50-m_302-k_6-p_0.2.txt,6,6,2,true,91
synth-n_50-m_320-k_15-p_0.2.txt,14,14,199,true,40383
synth-n_50-m_327-k_10-p_0.2.txt,10,10,21,true,3600
synth-n_50-m_334-k_8-p_0.2.txt,8,8,3,true,187
synth-n_50-m_357-k_20-p_0.2.txt,20,20,7257,true,1354461
synth-n_50-m_66-k_2-p_0.05.txt,1,1,0,true,0
synth-n_50-m_70-k_4-p_0.05.txt,0,0,0,true,0
synth-n_50-m_71-k_8-p_0.05.txt,2,2,0,true,0
synth-n_50-m_81-k_10-p_0.05.txt,3,3,0,true,0
synth-n_50-m_90-k_20-p_0.05.txt,2,2,0,true,0
synth-n_50-m_91-k_6-p_0.05.txt,1,1,0,true,0
synth-n_50-m_97-k_15-p_0.05.txt,4,4,0,true,0
synth-n_60-m_110-k_2-p_0.05.txt,1,1,0,true,0
synth-n_60-m_114-k_6-p_0.05.txt,2,2,0,true,0
synth-n_60-m_121-k_10-p_0.05.txt,3,3,0,true,0
synth-n_60-m_122-k_15-p_0.05.txt,5,5,0,true,134
synth-n_60-m_124-k_25-p_0.05.txt,6,6,0,true,157
synth-n_60-m_126-k_8-p_0.05.txt,4,4,0,true,0
synth-n_60-m_134-k_20-p_0.05.txt,5,5,0,true,0
synth-n_60-m_196-k_2-p_0.1.txt,2,2,0,true,0
synth-n_60-m_196-k_4-p_0.1.txt,4,4,0,true,0
synth-n_60-m_207-k_8-p_0.1.txt,8,8,1,true,406
synth-n_60-m_211-k_10-p_0.1.txt,7,7,4,true,520
synth-n_60-m_222-k_6-p_0.1.txt,5,5,0,true,0
synth-n_60-m_226-k_15-p_0.1.txt,10,10,55,true,8897
synth-n_60-m_243-k_25-p_0.1.txt,14,14,1779,true,236806
synth-n_60-m_271-k_20-p_0.1.txt,15,15,14020,true,1716453
synth-n_60-m_380-k_2-p_0.2.txt,2,2,0,true,0
synth-n_60-m_386-k_4-p_0.2.txt,4,4,1,true,9
synth-n_60-m_428-k_8-p_0.2.txt,8,8,8,true,931
synth-n_60-m_437-k_10-p_0.2.txt,10,10,28,true,3200
synth-n_60-m_442-k_6-p_0.2.txt,6,6,3,true,352
synth-n_60-m_463-k_20-p_0.2.txt,20,20,74231,true,11068135
synth-n_60-m_468-k_15-p_0.2.txt,15,15,1838,true,246772
synth-n_60-m_520-k_25-p_0.2.txt,25,0,180000,false,24609882
synth-n_60-m_94-k_4-p_0.05.txt,1,1,0,true,0
